"filename", "language", "CSS", "HTML", "XML", "JavaScript", "Markdown", "comment", "blank", "total"
"/home/amitjosemundackal-vonnue/codes/vonnue.edu/HTML-CSS tutorial/animations/anime1.css", "CSS", 24, 0, 0, 0, 0, 0, 3, 27
"/home/amitjosemundackal-vonnue/codes/vonnue.edu/HTML-CSS tutorial/animations/anime1.html", "HTML", 0, 13, 0, 0, 0, 0, 1, 14
"/home/amitjosemundackal-vonnue/codes/vonnue.edu/HTML-CSS tutorial/animations/anime2-mario-kart.html", "HTML", 0, 19, 0, 0, 0, 0, 0, 19
"/home/amitjosemundackal-vonnue/codes/vonnue.edu/HTML-CSS tutorial/animations/anime2.css", "CSS", 77, 0, 0, 0, 0, 1, 13, 91
"/home/amitjosemundackal-vonnue/codes/vonnue.edu/HTML-CSS tutorial/animations/card.css", "CSS", 54, 0, 0, 0, 0, 0, 7, 61
"/home/amitjosemundackal-vonnue/codes/vonnue.edu/HTML-CSS tutorial/animations/card.html", "HTML", 0, 46, 0, 0, 0, 0, 5, 51
"/home/amitjosemundackal-vonnue/codes/vonnue.edu/HTML-CSS tutorial/animations/popup.css", "CSS", 83, 0, 0, 0, 0, 1, 7, 91
"/home/amitjosemundackal-vonnue/codes/vonnue.edu/HTML-CSS tutorial/animations/popup.html", "HTML", 0, 19, 0, 0, 0, 0, 1, 20
"/home/amitjosemundackal-vonnue/codes/vonnue.edu/HTML-CSS tutorial/animations/shoppingbasket.css", "CSS", 47, 0, 0, 0, 0, 0, 7, 54
"/home/amitjosemundackal-vonnue/codes/vonnue.edu/HTML-CSS tutorial/animations/shoppingbasket.html", "HTML", 0, 60, 0, 0, 0, 0, 4, 64
"/home/amitjosemundackal-vonnue/codes/vonnue.edu/HTML-CSS tutorial/basics/RD.css", "CSS", 0, 0, 0, 0, 0, 0, 1, 1
"/home/amitjosemundackal-vonnue/codes/vonnue.edu/HTML-CSS tutorial/basics/RD.html", "HTML", 0, 9, 0, 0, 0, 0, 7, 16
"/home/amitjosemundackal-vonnue/codes/vonnue.edu/HTML-CSS tutorial/basics/README.md", "Markdown", 0, 0, 0, 0, 1, 0, 1, 2
"/home/amitjosemundackal-vonnue/codes/vonnue.edu/HTML-CSS tutorial/basics/about us.html", "HTML", 0, 7, 0, 0, 0, 0, 7, 14
"/home/amitjosemundackal-vonnue/codes/vonnue.edu/HTML-CSS tutorial/basics/about.html", "HTML", 0, 15, 0, 0, 0, 0, 7, 22
"/home/amitjosemundackal-vonnue/codes/vonnue.edu/HTML-CSS tutorial/basics/class and selctors.html", "HTML", 0, 39, 0, 0, 0, 0, 16, 55
"/home/amitjosemundackal-vonnue/codes/vonnue.edu/HTML-CSS tutorial/basics/class and select.css", "CSS", 15, 0, 0, 0, 0, 32, 2, 49
"/home/amitjosemundackal-vonnue/codes/vonnue.edu/HTML-CSS tutorial/basics/css_positioning.html", "HTML", 0, 54, 0, 0, 0, 5, 20, 79
"/home/amitjosemundackal-vonnue/codes/vonnue.edu/HTML-CSS tutorial/basics/index.html", "HTML", 0, 41, 0, 0, 0, 2, 27, 70
"/home/amitjosemundackal-vonnue/codes/vonnue.edu/HTML-CSS tutorial/basics/index2.html", "HTML", 0, 42, 0, 0, 0, 0, 28, 70
"/home/amitjosemundackal-vonnue/codes/vonnue.edu/HTML-CSS tutorial/basics/index3.html", "HTML", 0, 34, 0, 0, 0, 0, 14, 48
"/home/amitjosemundackal-vonnue/codes/vonnue.edu/HTML-CSS tutorial/basics/index4.html", "HTML", 0, 23, 0, 0, 0, 0, 4, 27
"/home/amitjosemundackal-vonnue/codes/vonnue.edu/HTML-CSS tutorial/basics/positioning.css", "CSS", 108, 0, 0, 0, 0, 21, 6, 135
"/home/amitjosemundackal-vonnue/codes/vonnue.edu/HTML-CSS tutorial/basics/readme.md", "Markdown", 0, 0, 0, 0, 0, 0, 1, 1
"/home/amitjosemundackal-vonnue/codes/vonnue.edu/HTML-CSS tutorial/basics/sample/README.md", "Markdown", 0, 0, 0, 0, 1, 0, 1, 2
"/home/amitjosemundackal-vonnue/codes/vonnue.edu/HTML-CSS tutorial/basics/semantics.css", "CSS", 203, 0, 0, 0, 0, 3, 10, 216
"/home/amitjosemundackal-vonnue/codes/vonnue.edu/HTML-CSS tutorial/basics/semantics.html", "HTML", 0, 51, 0, 0, 0, 0, 11, 62
"/home/amitjosemundackal-vonnue/codes/vonnue.edu/HTML-CSS tutorial/basics/style2.css", "CSS", 10, 0, 0, 0, 0, 1, 1, 12
"/home/amitjosemundackal-vonnue/codes/vonnue.edu/HTML-CSS tutorial/basics/styles.css", "CSS", 24, 0, 0, 0, 0, 4, 2, 30
"/home/amitjosemundackal-vonnue/codes/vonnue.edu/HTML-CSS tutorial/flex/elements.css", "CSS", 27, 0, 0, 0, 0, 0, 8, 35
"/home/amitjosemundackal-vonnue/codes/vonnue.edu/HTML-CSS tutorial/flex/elements.html", "HTML", 0, 17, 0, 0, 0, 0, 5, 22
"/home/amitjosemundackal-vonnue/codes/vonnue.edu/HTML-CSS tutorial/flex/flex.css", "CSS", 33, 0, 0, 0, 0, 0, 10, 43
"/home/amitjosemundackal-vonnue/codes/vonnue.edu/HTML-CSS tutorial/flex/flex.html", "HTML", 0, 16, 0, 0, 0, 0, 2, 18
"/home/amitjosemundackal-vonnue/codes/vonnue.edu/HTML-CSS tutorial/flex/flex1.css", "CSS", 101, 0, 0, 0, 0, 4, 31, 136
"/home/amitjosemundackal-vonnue/codes/vonnue.edu/HTML-CSS tutorial/flex/flex1.html", "HTML", 0, 150, 0, 0, 0, 0, 5, 155
"/home/amitjosemundackal-vonnue/codes/vonnue.edu/HTML-CSS tutorial/flex/sample.html", "HTML", 0, 19, 0, 0, 0, 0, 0, 19
"/home/amitjosemundackal-vonnue/codes/vonnue.edu/HTML-CSS tutorial/grid/grid1.html", "HTML", 0, 46, 0, 0, 0, 0, 4, 50
"/home/amitjosemundackal-vonnue/codes/vonnue.edu/HTML-CSS tutorial/grid/grid2lines.html", "HTML", 0, 69, 0, 0, 0, 0, 0, 69
"/home/amitjosemundackal-vonnue/codes/vonnue.edu/HTML-CSS tutorial/grid/grid3.html", "HTML", 0, 65, 0, 0, 0, 0, 1, 66
"/home/amitjosemundackal-vonnue/codes/vonnue.edu/HTML-CSS tutorial/grid/grid4.html", "HTML", 0, 81, 0, 0, 0, 0, 0, 81
"/home/amitjosemundackal-vonnue/codes/vonnue.edu/HTML-CSS tutorial/grid/grid5.html", "HTML", 0, 56, 0, 0, 0, 0, 1, 57
"/home/amitjosemundackal-vonnue/codes/vonnue.edu/HTML-CSS tutorial/grid/grid6.html", "HTML", 0, 77, 0, 0, 0, 0, 1, 78
"/home/amitjosemundackal-vonnue/codes/vonnue.edu/HTML-CSS tutorial/hotels/css/animate.css", "CSS", 2655, 0, 0, 0, 0, 10, 494, 3159
"/home/amitjosemundackal-vonnue/codes/vonnue.edu/HTML-CSS tutorial/hotels/css/bootstrap.min.css", "CSS", 1, 0, 0, 0, 0, 5, 0, 6
"/home/amitjosemundackal-vonnue/codes/vonnue.edu/HTML-CSS tutorial/hotels/css/font-awesome.min.css", "CSS", 1, 0, 0, 0, 0, 3, 1, 5
"/home/amitjosemundackal-vonnue/codes/vonnue.edu/HTML-CSS tutorial/hotels/css/magnific-popup.css", "CSS", 310, 0, 0, 0, 0, 6, 36, 352
"/home/amitjosemundackal-vonnue/codes/vonnue.edu/HTML-CSS tutorial/hotels/css/owl.carousel.css", "CSS", 132, 0, 0, 0, 0, 23, 16, 171
"/home/amitjosemundackal-vonnue/codes/vonnue.edu/HTML-CSS tutorial/hotels/css/owl.theme.default.min.css", "CSS", 1, 0, 0, 0, 0, 5, 0, 6
"/home/amitjosemundackal-vonnue/codes/vonnue.edu/HTML-CSS tutorial/hotels/css/templatemo-style.css", "CSS", 753, 0, 0, 0, 0, 49, 206, 1008
