"filename", "language", "HTML", "JavaScript", "CSS", "XML", "Markdown", "comment", "blank", "total"
"/home/amitjosemundackal-vonnue/codes/vonnue.edu/EJS/chapter 1/c1.js", "JavaScript", 0, 25, 0, 0, 0, 31, 32, 88
"/home/amitjosemundackal-vonnue/codes/vonnue.edu/EJS/chapter 1/index.html", "HTML", 12, 0, 0, 0, 0, 0, 2, 14
"/home/amitjosemundackal-vonnue/codes/vonnue.edu/EJS/chapter 2/c2.js", "JavaScript", 0, 23, 0, 0, 0, 155, 81, 259
"/home/amitjosemundackal-vonnue/codes/vonnue.edu/EJS/chapter 2/index.html", "HTML", 12, 0, 0, 0, 0, 0, 0, 12
"/home/amitjosemundackal-vonnue/codes/vonnue.edu/HTML-CSS tutorial/animations/anime1.css", "CSS", 0, 0, 24, 0, 0, 0, 3, 27
"/home/amitjosemundackal-vonnue/codes/vonnue.edu/HTML-CSS tutorial/animations/anime1.html", "HTML", 13, 0, 0, 0, 0, 0, 1, 14
"/home/amitjosemundackal-vonnue/codes/vonnue.edu/HTML-CSS tutorial/animations/anime2-mario-kart.html", "HTML", 19, 0, 0, 0, 0, 0, 0, 19
"/home/amitjosemundackal-vonnue/codes/vonnue.edu/HTML-CSS tutorial/animations/anime2.css", "CSS", 0, 0, 77, 0, 0, 1, 13, 91
"/home/amitjosemundackal-vonnue/codes/vonnue.edu/HTML-CSS tutorial/animations/card.css", "CSS", 0, 0, 54, 0, 0, 0, 7, 61
"/home/amitjosemundackal-vonnue/codes/vonnue.edu/HTML-CSS tutorial/animations/card.html", "HTML", 46, 0, 0, 0, 0, 0, 5, 51
"/home/amitjosemundackal-vonnue/codes/vonnue.edu/HTML-CSS tutorial/animations/popup.css", "CSS", 0, 0, 83, 0, 0, 1, 7, 91
"/home/amitjosemundackal-vonnue/codes/vonnue.edu/HTML-CSS tutorial/animations/popup.html", "HTML", 19, 0, 0, 0, 0, 0, 1, 20
"/home/amitjosemundackal-vonnue/codes/vonnue.edu/HTML-CSS tutorial/animations/shoppingbasket.css", "CSS", 0, 0, 47, 0, 0, 0, 7, 54
"/home/amitjosemundackal-vonnue/codes/vonnue.edu/HTML-CSS tutorial/animations/shoppingbasket.html", "HTML", 60, 0, 0, 0, 0, 0, 4, 64
"/home/amitjosemundackal-vonnue/codes/vonnue.edu/HTML-CSS tutorial/basics/RD.css", "CSS", 0, 0, 0, 0, 0, 0, 1, 1
"/home/amitjosemundackal-vonnue/codes/vonnue.edu/HTML-CSS tutorial/basics/RD.html", "HTML", 9, 0, 0, 0, 0, 0, 7, 16
"/home/amitjosemundackal-vonnue/codes/vonnue.edu/HTML-CSS tutorial/basics/README.md", "Markdown", 0, 0, 0, 0, 1, 0, 1, 2
"/home/amitjosemundackal-vonnue/codes/vonnue.edu/HTML-CSS tutorial/basics/about us.html", "HTML", 7, 0, 0, 0, 0, 0, 7, 14
"/home/amitjosemundackal-vonnue/codes/vonnue.edu/HTML-CSS tutorial/basics/about.html", "HTML", 15, 0, 0, 0, 0, 0, 7, 22
"/home/amitjosemundackal-vonnue/codes/vonnue.edu/HTML-CSS tutorial/basics/class and selctors.html", "HTML", 39, 0, 0, 0, 0, 0, 16, 55
"/home/amitjosemundackal-vonnue/codes/vonnue.edu/HTML-CSS tutorial/basics/class and select.css", "CSS", 0, 0, 15, 0, 0, 32, 2, 49
"/home/amitjosemundackal-vonnue/codes/vonnue.edu/HTML-CSS tutorial/basics/css_positioning.html", "HTML", 54, 0, 0, 0, 0, 5, 20, 79
"/home/amitjosemundackal-vonnue/codes/vonnue.edu/HTML-CSS tutorial/basics/index.html", "HTML", 41, 0, 0, 0, 0, 2, 27, 70
"/home/amitjosemundackal-vonnue/codes/vonnue.edu/HTML-CSS tutorial/basics/index2.html", "HTML", 42, 0, 0, 0, 0, 0, 28, 70
"/home/amitjosemundackal-vonnue/codes/vonnue.edu/HTML-CSS tutorial/basics/index3.html", "HTML", 34, 0, 0, 0, 0, 0, 14, 48
"/home/amitjosemundackal-vonnue/codes/vonnue.edu/HTML-CSS tutorial/basics/index4.html", "HTML", 23, 0, 0, 0, 0, 0, 4, 27
"/home/amitjosemundackal-vonnue/codes/vonnue.edu/HTML-CSS tutorial/basics/positioning.css", "CSS", 0, 0, 108, 0, 0, 21, 6, 135
"/home/amitjosemundackal-vonnue/codes/vonnue.edu/HTML-CSS tutorial/basics/readme.md", "Markdown", 0, 0, 0, 0, 0, 0, 1, 1
"/home/amitjosemundackal-vonnue/codes/vonnue.edu/HTML-CSS tutorial/basics/sample/README.md", "Markdown", 0, 0, 0, 0, 1, 0, 1, 2
"/home/amitjosemundackal-vonnue/codes/vonnue.edu/HTML-CSS tutorial/basics/semantics.css", "CSS", 0, 0, 203, 0, 0, 3, 10, 216
"/home/amitjosemundackal-vonnue/codes/vonnue.edu/HTML-CSS tutorial/basics/semantics.html", "HTML", 51, 0, 0, 0, 0, 0, 11, 62
"/home/amitjosemundackal-vonnue/codes/vonnue.edu/HTML-CSS tutorial/basics/style2.css", "CSS", 0, 0, 10, 0, 0, 1, 1, 12
"/home/amitjosemundackal-vonnue/codes/vonnue.edu/HTML-CSS tutorial/basics/styles.css", "CSS", 0, 0, 24, 0, 0, 4, 2, 30
"/home/amitjosemundackal-vonnue/codes/vonnue.edu/HTML-CSS tutorial/flex/elements.css", "CSS", 0, 0, 27, 0, 0, 0, 8, 35
"/home/amitjosemundackal-vonnue/codes/vonnue.edu/HTML-CSS tutorial/flex/elements.html", "HTML", 17, 0, 0, 0, 0, 0, 5, 22
"/home/amitjosemundackal-vonnue/codes/vonnue.edu/HTML-CSS tutorial/flex/flex.css", "CSS", 0, 0, 33, 0, 0, 0, 10, 43
